d,A* h1,d,A* random heuristic,,d,A* h2,,,,,,,,
12,215,12,217,,12,73,,,,,,,,
12,102,12,202,,12,52,,,,,,,,
12,158,12,164,,12,49,,,,,,,,
12,176,12,144,,12,81,,,,,,,,
12,163,12,243,,12,42,,,,,,,,
12,179,12,191,,12,71,,,,,,,,
12,154,12,177,,12,84,,,,,,,,
12,200,12,316,,12,110,,,,,,,,
12,201,12,250,,12,66,,,,,,,,
12,164,12,150,,12,89,,,,,,,,
12,158,12,154,,12,50,,,,,,,,
12,222,12,233,,12,161,,,,,,,,
12,213,12,73,,12,79,,,,,,,,
12,187,12,204,,12,69,,,,,,,,
12,156,12,242,,12,69,,,,,,,,
12,123,12,293,,12,72,,,,,,,,
12,154,12,130,,12,61,,,,,,,,
12,222,12,390,,12,153,,,,,,,,
12,186,12,228,,12,62,,,,,,,,
12,150,12,257,,12,78,,,,,,,,
12,154,12,221,,12,44,,,,,,,,
12,126,12,266,,12,25,,,,,,,,
12,178,12,178,,12,103,,,,,,,,
12,112,12,312,,12,63,,,,,,,,
12,147,12,73,,12,73,,,,,,,,
12,130,12,220,,12,40,,,,,,,,
12,195,12,386,,12,92,,,,,,,,
12,191,12,125,,12,76,,,,,,,,
12,200,12,73,,12,53,,,,,,,,
12,162,12,184,,12,44,,,,,,,,
12,182,12,211,,12,160,,,,,,,,
12,195,12,174,,12,59,,,,,,,,
12,169,12,357,,12,49,,,,,,,,
12,164,12,306,,12,94,,,,,,,,
12,187,12,442,,12,159,,,,,,,,
12,112,12,334,,12,37,,,,,,,,
12,180,12,147,,12,88,,,,,,,,
12,168,12,186,,12,63,,,,,,,,
12,139,12,352,,12,49,,,,,,,,
12,160,12,210,,12,38,,,,,,,,
12,179,12,205,,12,114,,,,,,,,
12,211,12,269,,12,98,,,,,,,,
12,186,12,73,,12,34,,,,,,,,
12,170,12,182,,12,107,,,,,,,,
12,170,12,261,,12,41,,,,,,,,
12,123,12,146,,12,60,,,,,,,,
12,101,12,178,,12,55,,,,,,,,
12,182,12,295,,12,44,,,,,,,,
12,138,12,320,,12,69,,,,,,,,
12,102,12,202,,12,52,,,,,,,,
12,188,12,273,,12,73,,,,,,,,
12,140,12,262,,12,67,,,,,,,,
12,112,12,312,,12,63,,,,,,,,
12,227,12,73,,12,135,,,,,,,,
12,173,12,380,,12,107,,,,,,,,
12,184,12,173,,12,41,,,,,,,,
12,78,12,119,,12,33,,,,,,,,
12,103,12,158,,12,68,,,,,,,,
12,149,12,305,,12,49,,,,,,,,
12,123,12,146,,12,60,,,,,,,,
12,105,12,279,,12,60,,,,,,,,
12,188,12,234,,12,67,,,,,,,,
12,169,12,365,,12,100,,,,,,,,
12,169,12,179,,12,92,,,,,,,,
12,143,12,142,,12,66,,,,,,,,
12,176,12,183,,12,78,,,,,,,,
12,133,12,138,,12,43,,,,,,,,
12,117,12,300,,12,51,,,,,,,,
12,164,12,365,,12,55,,,,,,,,
12,164,12,168,,12,105,,,,,,,,
12,97,12,170,,12,53,,,,,,,,
12,155,12,158,,12,63,,,,,,,,
12,158,12,158,,12,58,,,,,,,,
14,444,14,113,,14,201,,,,,,,,
14,407,14,552,,14,104,,,,,,,,
14,359,16,615,,14,58,,,,,,,,
14,326,14,381,,14,94,,,,,,,,
14,380,14,498,,14,55,,,,,,,,
14,423,14,599,,14,117,,,,,,,,
14,392,14,532,,14,117,,,,,,,,
14,350,16,976,,14,175,,,,,,,,
14,450,14,592,,14,183,,,,,,,,
14,446,14,597,,14,138,,,,,,,,
14,364,14,333,,14,109,,,,,,,,
14,364,14,869,,14,203,,,,,,,,
14,319,14,324,,14,150,,,,,,,,
14,423,14,671,,14,79,,,,,,,,
14,257,14,463,,14,51,,,,,,,,
14,401,14,661,,14,63,,,,,,,,
14,332,14,612,,14,55,,,,,,,,
14,463,14,1292,,14,366,,,,,,,,
14,392,14,711,,14,224,,,,,,,,
14,355,14,318,,14,202,,,,,,,,
14,367,14,464,,14,156,,,,,,,,
14,346,14,420,,14,64,,,,,,,,
14,355,14,945,,14,134,,,,,,,,
14,423,14,599,,14,117,,,,,,,,
14,422,14,686,,14,149,,,,,,,,
14,445,14,836,,14,307,,,,,,,,
14,401,14,969,,14,162,,,,,,,,
14,374,14,625,,14,120,,,,,,,,
14,282,14,491,,14,102,,,,,,,,
14,352,14,272,,14,179,,,,,,,,
